ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,Lat,Lng,Count
11,Rotterdam,ABN AMRO World Tennis Tournament,7/2/22,ATP500,Indoor,Hard,1st Round,3,Mcdonald M.,Basilashvili N.,49,21,1121,2016,6,3,6,2,,,,,,,2,0,Completed,1.61,2.3,1.65,2.37,1.68,2.4,1.61,2.29,51.917,4.500,31.000
12,Delray Beach,Delray Beach Open,14/2/22,ATP250,Outdoor,Hard,1st Round,3,Otte O.,Nishioka Y.,85,108,789,640,7,6,6,3,,,,,,,2,0,Completed,2,1.8,2.07,1.83,2.1,1.85,2.02,1.78,26.455,-80.091,27.000
13,Doha,Qatar Exxon Mobil Open,14/2/22,ATP250,Outdoor,Hard,1st Round,3,Molcan A.,O Connell C.,73,148,876,463,6,7,7,6,6,4,,,,,2,1,Completed,2.2,1.66,2.18,1.75,2.34,1.76,2.15,1.69,25.287,51.533,27.000
14,Marseille,Open 13,14/2/22,ATP250,Indoor,Hard,1st Round,3,Travaglia S.,Laaksonen H.,119,84,604,797,6,2,6,7,7,6,,,,,2,1,Completed,2.3,1.61,2.45,1.61,2.45,1.63,2.34,1.59,43.296,5.370,27.000
15,Rio de Janeiro,Rio Open,14/2/22,ATP500,Outdoor,Clay,1st Round,3,Martinez P.,Shang J.,62,663,1002,39,6,3,6,4,,,,,,,2,0,Completed,1.1,7,1.1,8.3,1.13,8.3,1.09,7.05,-22.911,-43.206,27.000
16,Acapulco,Abierto Mexicano,22/2/22,ATP500,Outdoor,Hard,1st Round,3,Isner J.,Verdasco F.,23,152,1891,415,7,5,6,7,7,6,,,,,2,1,Completed,1.3,3.5,1.3,3.89,1.36,3.89,1.29,3.54,16.835,-99.824,31.000
17,Dubai ,Dubai Tennis Championships,21/2/22,ATP500,Outdoor,Hard,1st Round,3,Vesely J.,Cilic M.,123,24,550,1865,6,4,7,6,,,,,,,2,0,Completed,3.75,1.28,3.68,1.32,4,1.33,3.57,1.29,25.205,55.271,31.000
18,Santiago,Chile Open,21/2/22,ATP250,Indoor,Clay,1st Round,3,Londero J.I.,Etcheverry T.,139,120,484,565,4,6,6,4,7,5,,,,,2,1,Completed,1.57,2.37,1.65,2.36,1.65,2.66,1.57,2.37,-33.437,-70.651,27.000
19,Indian Wells,BNP Paribas Open,10/3/22,Masters 1000,Outdoor,Hard,1st Round,3,Bonzi B.,Rinderknech A.,62,57,909,986,6,3,7,5,,,,,,,2,0,Completed,2.1,1.72,2.02,1.89,2.12,1.9,2.03,1.79,33.718,-116.341,95.000
20,Miami,Miami Open,23/3/22,Masters 1000,Outdoor,Hard,1st Round,3,Cerundolo F.,Griekspoor T.,103,57,668,962,7,5,4,6,6,3,,,,,2,1,Completed,3.4,1.33,3.19,1.41,3.4,1.42,3.05,1.37,25.784,-80.210,95.000
